a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
zero,zero,3,two,28,zero,zero,one,zero,zero,44,one,34,zero
zero,zero,0,zero,27,zero,zero,zero,zero,zero,47,one,15,zero
one,zero,3,two,19,one,zero,one,zero,zero,19,one,4,zero
one,one,3,one,37,zero,zero,one,zero,zero,59,one,47,one
zero,zero,7,two,60,zero,zero,one,zero,zero,69,one,70,zero
zero,zero,4,zero,11,zero,zero,zero,zero,two,35,one,21,zero
zero,zero,6,six,31,one,one,zero,zero,zero,39,one,41,zero
one,one,2,zero,14,zero,zero,zero,zero,zero,44,one,2,zero
zero,zero,2,one,13,zero,zero,one,zero,zero,34,one,23,zero
zero,zero,3,two,32,zero,zero,one,zero,one,71,one,19,one
zero,zero,6,five,22,zero,zero,one,zero,zero,4,one,20,zero
zero,zero,5,zero,13,zero,zero,one,zero,zero,39,one,23,zero
zero,zero,3,zero,12,zero,zero,one,zero,zero,39,one,22,zero
zero,one,4,three,42,zero,zero,one,zero,zero,43,one,13,one
zero,zero,11,eight,51,zero,zero,one,zero,zero,47,one,61,zero
one,zero,5,five,13,zero,zero,zero,zero,zero,44,one,2,zero
zero,one,3,two,27,zero,zero,one,zero,three,47,one,37,one
zero,zero,2,one,47,zero,one,zero,zero,zero,49,one,1,zero
zero,zero,0,zero,33,one,zero,zero,zero,two,43,one,12,zero
zero,one,3,two,29,zero,zero,one,zero,zero,47,one,38,zero
zero,one,3,two,25,one,zero,one,zero,two,19,one,35,one
one,one,2,one,40,zero,zero,one,zero,zero,59,one,50,one
zero,zero,0,zero,61,one,one,zero,zero,zero,44,one,71,zero
zero,zero,3,zero,10,zero,zero,zero,zero,zero,84,one,20,zero
zero,two,5,zero,23,one,zero,zero,zero,three,24,one,33,one
zero,zero,0,zero,57,one,zero,zero,zero,zero,19,one,67,zero
zero,zero,2,one,32,one,one,zero,zero,three,39,one,42,zero
one,one,3,two,49,zero,zero,one,zero,zero,44,one,40,zero
zero,zero,6,four,40,zero,zero,one,zero,zero,41,one,50,zero
zero,zero,5,four,32,zero,zero,one,zero,zero,39,one,20,zero
zero,zero,4,three,43,zero,zero,one,zero,zero,39,one,28,one
zero,one,2,one,16,zero,zero,one,zero,zero,39,one,10,zero
zero,zero,7,six,40,zero,zero,one,zero,zero,19,one,3,zero
one,zero,3,two,30,one,zero,one,zero,zero,39,one,40,zero
zero,zero,8,five,35,zero,zero,one,zero,zero,39,one,40,zero
one,zero,0,zero,23,zero,zero,zero,zero,one,47,one,33,zero
zero,zero,10,four,67,zero,zero,one,zero,zero,39,one,77,zero
zero,zero,1,zero,26,one,one,zero,zero,zero,39,one,36,zero
one,one,2,one,27,one,zero,one,zero,three,24,one,37,one
one,zero,6,five,35,zero,zero,one,zero,zero,39,one,14,zero
one,zero,2,one,17,zero,zero,one,zero,zero,59,one,11,zero
zero,three,4,three,43,zero,zero,one,zero,two,29,one,53,one
zero,zero,4,three,56,zero,zero,one,zero,zero,47,one,66,zero
zero,zero,0,zero,26,zero,one,zero,zero,one,47,one,20,zero
zero,zero,3,three,39,one,one,zero,zero,zero,39,zero,49,zero
zero,zero,4,three,18,one,zero,one,zero,one,39,one,24,zero
one,zero,5,four,52,zero,zero,one,zero,zero,69,one,62,zero
zero,zero,3,three,31,one,one,zero,zero,zero,47,one,41,zero
one,zero,4,zero,23,one,zero,zero,zero,two,39,one,33,one
one,zero,2,one,18,zero,zero,one,zero,zero,44,one,25,zero
zero,zero,5,three,51,zero,zero,one,zero,zero,44,one,61,one
zero,one,3,two,42,zero,zero,one,zero,zero,69,one,8,zero
zero,zero,3,two,25,one,zero,one,zero,one,39,one,5,zero
zero,one,1,zero,16,zero,zero,zero,zero,two,69,one,26,one
one,zero,1,zero,30,zero,zero,one,zero,zero,43,one,7,zero
one,zero,3,two,14,zero,zero,one,zero,zero,54,one,22,zero
zero,zero,2,one,36,zero,zero,one,zero,zero,43,one,46,zero
zero,zero,4,zero,6,zero,zero,zero,zero,zero,49,one,2,zero
zero,zero,4,three,39,zero,one,zero,zero,zero,39,one,45,one
zero,zero,6,zero,10,one,zero,zero,zero,two,43,one,17,zero
zero,one,6,four,46,zero,zero,one,zero,zero,43,zero,56,zero
zero,two,4,three,32,zero,zero,one,zero,zero,43,one,42,one
zero,zero,1,zero,13,zero,zero,one,zero,one,47,one,7,zero
zero,zero,10,eight,38,zero,zero,one,zero,zero,53,one,37,zero
zero,zero,5,two,40,zero,zero,one,zero,zero,59,one,50,zero
one,zero,4,one,12,one,zero,one,zero,one,59,one,22,zero
zero,zero,5,zero,13,zero,zero,zero,zero,two,71,one,23,one
one,zero,4,two,34,zero,zero,one,zero,one,49,one,0,zero
zero,zero,3,zero,33,zero,one,zero,zero,zero,43,one,30,zero
one,zero,7,zero,11,one,zero,zero,zero,one,39,one,19,zero
zero,zero,2,zero,28,zero,one,zero,zero,zero,39,one,38,zero
zero,two,2,one,40,one,zero,one,zero,two,59,one,28,one
one,zero,4,zero,7,zero,zero,zero,zero,one,21,one,0,zero
zero,one,3,two,29,zero,zero,one,zero,two,39,one,39,one
zero,zero,3,two,22,zero,zero,one,zero,zero,47,one,14,zero
one,one,2,one,38,one,zero,one,zero,two,79,one,8,zero
zero,one,2,one,38,one,zero,one,zero,two,39,one,30,one
one,one,3,two,34,zero,zero,one,zero,one,59,one,6,one
zero,two,3,two,32,zero,zero,one,zero,two,67,one,42,one
zero,zero,5,three,21,zero,zero,one,zero,zero,39,zero,31,zero
zero,zero,1,zero,17,one,zero,zero,zero,two,47,one,2,zero
zero,three,3,zero,25,one,zero,zero,zero,two,17,one,35,one
zero,zero,3,two,22,zero,zero,one,zero,zero,47,one,32,zero
zero,zero,5,four,42,zero,zero,one,zero,zero,47,one,20,zero
one,one,2,one,10,zero,zero,one,zero,zero,55,one,20,zero
one,zero,3,one,13,one,zero,one,zero,two,55,one,23,zero
zero,zero,6,zero,16,one,zero,zero,zero,two,34,one,26,zero
one,zero,3,two,12,zero,zero,one,zero,zero,43,one,22,zero
zero,zero,0,zero,31,zero,zero,zero,zero,zero,47,one,41,zero
zero,one,2,one,13,one,zero,one,zero,two,39,one,23,zero
zero,zero,1,zero,24,zero,zero,one,zero,two,39,one,34,zero
zero,zero,5,zero,7,zero,zero,zero,zero,one,41,one,9,zero
one,one,2,one,14,zero,zero,one,zero,two,44,one,3,zero
zero,two,4,zero,13,zero,zero,zero,zero,two,45,one,11,zero
zero,zero,4,three,44,zero,zero,one,zero,zero,39,zero,54,zero
one,zero,1,zero,33,zero,zero,zero,zero,zero,59,one,37,zero
one,zero,2,one,17,zero,zero,one,zero,one,83,one,27,zero
zero,zero,9,eight,37,one,zero,zero,zero,zero,9,one,47,zero
zero,one,3,two,22,one,zero,one,zero,three,19,one,11,zero
one,one,3,two,17,one,zero,one,zero,zero,43,one,11,zero
zero,zero,3,two,32,zero,zero,one,zero,zero,69,one,33,one
zero,zero,4,three,10,one,zero,one,zero,zero,24,one,20,zero
zero,one,6,zero,11,zero,zero,zero,zero,one,47,one,11,zero
zero,zero,0,zero,47,one,one,zero,zero,zero,9,one,57,zero
one,zero,5,zero,11,zero,zero,one,zero,zero,47,one,21,zero
zero,one,1,zero,18,zero,zero,one,zero,two,59,one,24,zero
zero,zero,0,zero,35,one,one,zero,zero,zero,47,zero,20,zero
one,one,5,zero,20,zero,zero,zero,zero,zero,59,one,30,zero
zero,zero,3,two,34,zero,zero,one,zero,zero,49,one,14,zero
zero,zero,2,one,15,zero,zero,one,zero,zero,79,one,5,one
one,zero,2,one,17,zero,zero,one,zero,two,7,one,0,zero
one,zero,0,zero,32,zero,one,zero,zero,zero,43,one,42,zero
one,one,4,zero,11,one,zero,zero,zero,two,19,one,8,one
zero,zero,1,one,26,one,zero,zero,zero,one,59,one,36,zero
zero,two,7,zero,15,zero,zero,zero,zero,zero,55,one,25,zero
zero,zero,4,one,55,zero,one,zero,zero,one,47,one,65,zero
one,two,3,two,28,zero,zero,one,zero,three,79,one,38,one
one,one,4,three,29,zero,zero,one,zero,zero,98,one,39,one
one,zero,2,zero,13,zero,zero,one,zero,one,39,one,0,zero
zero,zero,4,zero,22,one,zero,zero,zero,zero,39,one,32,zero
zero,one,0,zero,30,zero,zero,zero,zero,one,39,one,40,zero
zero,zero,5,one,78,zero,zero,one,zero,zero,24,one,35,zero
zero,zero,4,three,28,zero,zero,one,zero,two,35,one,38,zero
zero,one,1,zero,52,zero,one,zero,zero,two,39,one,62,one
zero,zero,7,three,45,one,zero,one,zero,zero,39,one,55,zero
one,one,6,zero,3,zero,zero,zero,zero,zero,19,one,13,zero
one,one,3,zero,8,one,zero,zero,zero,one,55,one,18,zero
one,two,2,one,23,zero,zero,one,zero,three,39,one,24,one
zero,one,1,zero,24,zero,zero,one,zero,three,29,one,34,one
zero,zero,3,two,18,zero,zero,one,zero,one,39,one,4,zero
one,one,4,zero,9,one,zero,zero,zero,zero,55,one,0,zero
zero,one,2,zero,8,zero,zero,zero,zero,zero,59,one,18,zero
zero,one,4,three,27,one,zero,one,zero,zero,47,one,37,zero
one,zero,5,four,39,zero,zero,one,zero,one,69,one,20,zero
zero,zero,2,one,33,zero,zero,one,zero,zero,53,one,43,zero
zero,one,2,zero,6,zero,zero,zero,zero,one,39,one,16,zero
zero,two,5,one,19,one,zero,one,zero,three,11,one,1,zero
one,zero,4,three,32,one,zero,one,zero,zero,29,one,15,zero
one,one,2,one,12,zero,zero,one,zero,zero,37,one,20,zero
one,zero,3,zero,7,zero,zero,zero,zero,zero,47,one,11,zero
one,zero,2,one,41,zero,zero,one,zero,zero,29,one,51,zero
zero,zero,3,two,14,zero,zero,one,zero,one,19,one,2,zero
zero,one,4,two,21,zero,zero,one,zero,zero,59,one,31,one
zero,zero,5,one,67,zero,zero,one,zero,zero,44,one,40,zero
zero,one,3,two,25,zero,zero,one,zero,three,39,one,28,one
zero,two,3,two,35,one,zero,one,one,one,15,one,42,zero
one,zero,3,two,25,zero,zero,one,zero,zero,43,one,20,one
zero,zero,4,three,22,one,zero,one,zero,one,71,one,32,zero
one,zero,3,two,25,zero,zero,one,zero,one,43,one,35,zero
zero,one,3,one,46,zero,zero,one,zero,zero,44,one,56,zero
one,zero,3,two,29,zero,zero,one,zero,one,59,one,20,one
zero,one,3,one,36,zero,zero,one,zero,one,39,one,35,one
zero,zero,3,two,28,zero,zero,one,zero,zero,39,one,18,zero
one,one,3,two,22,one,zero,one,zero,one,39,one,7,zero
zero,zero,4,two,39,zero,zero,one,zero,one,71,one,10,one
one,zero,5,four,30,zero,zero,one,zero,zero,39,one,34,one
zero,zero,3,two,27,zero,zero,one,zero,two,39,one,37,zero
zero,zero,2,one,27,zero,zero,one,zero,one,61,one,37,zero
zero,zero,1,zero,15,zero,zero,zero,zero,zero,47,one,20,zero
zero,one,2,one,41,one,zero,one,zero,two,43,one,51,one
zero,zero,3,zero,45,zero,one,zero,zero,zero,47,one,40,zero
zero,zero,5,zero,1,one,zero,zero,zero,zero,49,one,11,zero
zero,zero,3,zero,29,zero,zero,zero,zero,two,44,one,20,zero
one,zero,4,three,27,one,zero,one,zero,three,29,one,6,zero
zero,zero,4,zero,5,zero,zero,zero,zero,one,59,one,6,zero
zero,zero,0,zero,30,one,zero,zero,zero,two,29,one,20,zero
one,zero,1,zero,30,zero,zero,one,zero,one,39,one,40,zero
zero,one,2,one,27,one,zero,one,zero,three,39,one,37,one
one,zero,1,zero,18,zero,zero,one,zero,zero,69,one,28,zero
zero,zero,6,three,38,zero,zero,one,zero,zero,53,one,44,zero
zero,zero,1,zero,22,zero,zero,one,zero,two,49,one,32,one
zero,zero,1,zero,37,one,zero,one,zero,zero,21,one,47,zero
zero,zero,5,zero,9,one,zero,zero,zero,one,43,one,19,zero
one,three,4,zero,7,one,zero,zero,zero,one,24,one,17,zero
zero,one,3,two,15,one,zero,one,zero,two,19,one,25,zero
one,one,3,two,20,one,zero,one,zero,zero,89,one,29,zero
zero,zero,3,two,39,zero,zero,one,zero,zero,39,one,9,zero
one,one,3,two,14,zero,zero,one,zero,zero,29,one,23,zero
one,one,6,five,44,zero,zero,one,zero,zero,35,one,54,zero
zero,two,3,two,48,zero,zero,one,zero,two,19,one,58,one
one,one,2,one,40,one,zero,zero,zero,two,39,one,13,one
zero,zero,4,one,52,zero,zero,one,zero,zero,39,one,19,zero
zero,one,5,two,29,zero,zero,one,zero,one,39,one,15,zero
one,one,5,zero,15,one,zero,zero,zero,two,39,one,4,zero
one,zero,10,zero,7,one,zero,zero,zero,zero,39,one,10,zero
zero,one,3,two,16,one,zero,one,zero,two,29,one,26,one
zero,three,2,one,41,one,zero,one,zero,two,35,one,40,one
one,one,2,one,22,zero,zero,one,zero,three,39,one,32,one
one,zero,6,zero,8,one,zero,zero,zero,one,47,one,18,zero
zero,zero,7,four,35,one,zero,one,zero,one,55,one,45,zero
one,two,3,two,22,one,zero,one,zero,two,39,one,4,zero
one,zero,2,one,34,one,zero,one,zero,zero,35,one,30,zero
one,zero,2,zero,16,zero,zero,one,zero,zero,39,one,5,zero
zero,zero,4,zero,13,one,zero,zero,zero,one,59,one,1,zero
one,zero,2,one,14,zero,zero,one,zero,zero,51,one,24,one
zero,zero,5,zero,5,one,zero,zero,zero,zero,11,zero,10,zero
zero,two,2,one,22,zero,zero,one,zero,two,43,one,21,one
zero,zero,2,one,46,zero,zero,one,zero,zero,47,one,40,zero
zero,zero,3,zero,5,one,zero,zero,zero,zero,39,one,4,zero
zero,zero,3,two,20,one,zero,one,zero,zero,63,one,4,zero
zero,zero,5,two,13,one,zero,zero,zero,zero,39,one,14,zero
zero,one,2,one,36,one,zero,one,zero,zero,39,one,46,one
zero,zero,5,four,29,zero,zero,one,zero,zero,29,one,39,zero
zero,zero,2,zero,7,zero,zero,zero,zero,one,19,one,17,zero
zero,zero,2,one,23,zero,zero,one,zero,one,39,one,6,zero
zero,one,3,two,25,zero,zero,one,zero,two,39,one,35,one
zero,one,3,zero,9,one,zero,zero,zero,one,43,one,19,zero
zero,one,0,zero,27,zero,zero,zero,zero,one,59,zero,7,zero
zero,zero,4,three,39,zero,zero,one,zero,zero,44,one,9,zero
one,zero,3,two,25,zero,zero,one,zero,three,39,one,35,one
one,zero,1,zero,6,zero,zero,zero,zero,zero,47,one,16,zero
one,zero,3,two,35,zero,zero,one,zero,zero,43,one,40,one
one,zero,6,four,43,zero,zero,one,zero,zero,34,one,53,zero
one,one,1,zero,18,zero,zero,one,zero,two,47,one,28,one
zero,zero,3,zero,13,one,zero,zero,zero,two,67,one,12,zero
zero,zero,3,two,48,zero,zero,one,zero,zero,39,one,18,zero
zero,zero,6,five,46,zero,zero,one,zero,two,53,one,56,zero
zero,zero,1,zero,54,one,one,zero,zero,zero,39,one,22,zero
zero,one,1,zero,15,zero,zero,one,zero,zero,44,one,25,zero
zero,zero,2,two,25,one,one,zero,zero,one,59,one,5,one
zero,zero,3,zero,11,zero,zero,zero,zero,two,43,one,21,zero
zero,one,4,one,46,zero,zero,one,zero,zero,47,one,56,zero
one,zero,0,zero,33,zero,zero,zero,zero,zero,47,zero,43,zero
zero,zero,4,one,25,zero,zero,one,zero,zero,47,one,35,zero
zero,one,4,zero,17,zero,zero,zero,zero,two,47,one,17,zero
zero,zero,4,three,33,zero,zero,one,zero,one,44,one,27,zero
zero,zero,1,zero,42,zero,zero,one,zero,zero,39,one,52,zero
one,one,2,one,31,zero,zero,one,zero,two,34,one,40,one
zero,one,3,two,37,zero,zero,one,zero,two,59,one,12,one
zero,zero,2,one,18,zero,zero,one,zero,one,47,one,28,zero
zero,one,3,two,29,zero,zero,one,zero,one,44,one,35,one
zero,zero,2,one,16,one,zero,one,zero,zero,44,one,10,zero
zero,zero,2,one,47,zero,zero,one,zero,two,64,one,30,zero
zero,two,0,zero,37,one,zero,zero,zero,zero,71,one,21,zero
zero,one,1,zero,20,one,zero,one,zero,two,24,one,30,zero
zero,zero,2,zero,18,one,zero,one,zero,zero,57,one,28,zero
zero,zero,3,two,14,zero,zero,one,zero,zero,47,one,7,one
zero,one,3,two,27,zero,zero,one,zero,one,69,one,17,zero
one,zero,6,five,24,one,zero,one,zero,zero,47,one,1,zero
zero,zero,3,one,55,zero,zero,one,zero,zero,85,one,65,zero
zero,one,2,one,18,zero,zero,one,zero,zero,44,one,12,zero
zero,zero,5,three,26,one,zero,zero,zero,zero,43,one,36,zero
zero,two,2,one,37,one,zero,one,zero,zero,59,one,47,zero
zero,zero,2,one,34,one,one,zero,zero,zero,39,one,44,zero
zero,zero,6,zero,30,zero,zero,zero,zero,one,39,one,40,zero
zero,zero,2,one,27,one,zero,one,zero,one,46,one,37,zero
one,zero,4,three,20,zero,zero,one,zero,zero,44,one,12,one
zero,zero,3,two,47,zero,zero,one,one,two,13,one,10,zero
one,one,3,two,14,one,zero,one,zero,one,49,one,2,zero
zero,zero,5,three,38,zero,zero,one,zero,two,39,one,43,zero
zero,two,1,zero,44,one,zero,one,zero,three,43,one,52,one
one,zero,2,zero,7,one,zero,one,zero,one,95,one,3,one
zero,zero,5,one,13,one,zero,zero,zero,one,74,one,23,zero
zero,zero,4,three,31,one,zero,one,zero,zero,26,one,41,zero
zero,three,5,two,34,zero,zero,one,zero,zero,43,one,44,one
zero,one,4,zero,9,zero,zero,zero,zero,two,29,one,13,zero
zero,one,2,one,28,zero,zero,one,zero,zero,35,zero,38,zero
zero,zero,2,one,15,one,zero,one,zero,two,39,one,8,zero
zero,zero,5,four,37,zero,zero,one,zero,zero,89,one,47,zero
zero,one,1,zero,57,zero,zero,one,zero,zero,89,one,10,one
one,zero,3,two,44,zero,zero,one,zero,zero,34,one,14,zero
zero,zero,0,zero,55,one,one,zero,zero,zero,29,one,46,zero
zero,one,4,three,27,one,zero,one,zero,two,43,one,25,zero
one,zero,3,two,25,zero,zero,one,zero,one,51,one,35,zero
zero,zero,3,three,30,one,one,zero,zero,zero,59,one,40,one
zero,one,5,zero,13,zero,zero,zero,zero,one,39,one,12,zero
one,zero,5,four,33,zero,zero,one,zero,zero,49,one,31,zero
zero,zero,2,one,32,zero,zero,one,zero,two,43,one,42,zero
zero,zero,1,zero,37,one,zero,zero,zero,zero,29,one,47,zero
one,two,5,zero,16,zero,zero,one,zero,one,47,one,1,zero
zero,two,1,zero,16,zero,zero,one,zero,three,39,one,8,one
zero,zero,3,zero,24,one,zero,one,zero,zero,39,one,34,zero
zero,zero,1,zero,18,zero,zero,one,zero,zero,24,one,22,zero
one,zero,2,two,27,one,one,zero,zero,one,47,one,14,zero
one,zero,4,zero,9,zero,zero,zero,zero,zero,49,one,16,zero
zero,zero,3,two,35,zero,zero,one,zero,zero,24,one,45,zero
one,one,2,one,30,zero,zero,one,zero,two,83,one,13,one
zero,zero,3,two,26,one,zero,one,zero,zero,19,one,36,zero
one,one,2,one,15,one,zero,one,zero,one,39,one,25,zero
zero,zero,4,three,27,one,zero,one,zero,zero,49,one,37,zero
zero,zero,3,two,34,zero,zero,one,zero,one,83,one,44,one
one,zero,3,two,46,zero,zero,one,zero,zero,49,one,20,zero
zero,one,3,two,64,zero,zero,one,zero,zero,47,one,20,one
zero,zero,4,three,20,one,zero,zero,zero,zero,47,zero,15,zero
one,one,4,two,38,zero,zero,one,zero,one,49,one,48,one
zero,one,2,zero,7,zero,zero,zero,zero,one,34,one,17,zero
zero,zero,4,zero,16,one,zero,zero,zero,one,29,one,6,zero
one,zero,3,two,43,one,zero,one,zero,zero,47,one,30,zero
zero,zero,1,zero,9,zero,zero,one,zero,zero,47,one,19,zero
zero,one,3,two,30,zero,zero,one,zero,two,83,one,40,one
one,zero,1,zero,15,zero,zero,zero,zero,one,83,one,10,zero
zero,one,3,two,35,one,zero,one,zero,two,29,one,45,zero
zero,zero,6,two,19,zero,zero,one,zero,one,47,one,29,zero
zero,zero,5,three,27,one,zero,one,zero,one,59,one,5,zero
zero,zero,1,zero,42,zero,zero,one,zero,zero,19,zero,52,zero
one,one,3,one,37,one,zero,one,zero,two,29,one,47,zero
zero,zero,4,three,37,zero,zero,one,zero,zero,34,one,47,zero
zero,one,3,two,22,zero,zero,one,zero,two,47,one,15,one
zero,zero,6,zero,11,one,zero,zero,zero,one,59,one,19,zero
zero,zero,1,zero,49,zero,zero,one,zero,zero,23,one,8,zero
zero,one,4,two,46,zero,zero,one,zero,zero,59,one,32,one
zero,zero,3,two,29,zero,zero,one,zero,zero,47,one,33,zero
zero,zero,3,two,30,zero,zero,one,zero,zero,43,one,40,zero
zero,zero,6,four,56,zero,zero,one,zero,zero,49,one,34,zero
zero,one,3,two,30,zero,zero,one,zero,one,47,one,8,zero
one,zero,4,three,32,zero,zero,one,zero,zero,53,zero,26,zero
zero,zero,3,two,30,one,zero,one,zero,zero,9,one,20,zero
zero,one,3,two,32,zero,zero,one,zero,three,43,one,42,zero
zero,one,3,two,22,one,zero,one,zero,two,59,one,32,zero
zero,zero,6,five,52,zero,zero,one,zero,zero,43,one,6,zero
zero,one,5,three,37,zero,zero,one,zero,zero,49,one,24,one
zero,one,2,one,45,zero,zero,one,zero,zero,59,one,55,zero
zero,zero,1,zero,23,one,zero,one,zero,zero,43,one,33,zero
zero,zero,6,five,44,zero,zero,one,zero,zero,47,zero,51,zero
one,one,1,zero,25,zero,zero,one,zero,three,39,one,6,one
zero,one,3,zero,8,zero,zero,zero,zero,two,55,one,12,zero
one,zero,2,zero,31,one,zero,one,zero,one,71,one,41,zero
zero,zero,2,one,30,zero,zero,one,zero,three,39,one,40,one
zero,zero,3,zero,8,one,zero,zero,zero,two,47,one,18,zero
one,zero,3,two,26,one,zero,one,zero,two,24,one,36,one
zero,one,1,one,36,one,one,zero,zero,three,39,one,25,one
zero,one,8,zero,48,zero,zero,zero,zero,zero,39,one,20,zero
zero,zero,2,two,40,zero,zero,zero,zero,zero,47,one,17,zero
zero,zero,2,one,56,zero,zero,one,zero,zero,47,one,66,zero
zero,one,4,three,29,zero,zero,one,zero,zero,39,one,39,zero
zero,zero,4,zero,22,zero,zero,zero,zero,zero,53,zero,32,zero
zero,zero,2,one,33,one,zero,one,zero,zero,59,one,43,zero
zero,zero,2,one,26,zero,zero,one,zero,zero,59,one,36,zero
zero,zero,4,three,19,one,zero,one,zero,zero,19,one,29,zero
one,zero,5,zero,9,zero,zero,zero,zero,one,59,one,0,zero
zero,zero,6,two,42,zero,zero,one,zero,two,58,one,52,one
zero,zero,2,one,19,one,zero,one,zero,zero,39,one,29,zero
zero,zero,3,two,33,zero,zero,one,zero,two,53,one,38,zero
one,zero,3,zero,10,zero,zero,zero,zero,two,47,one,5,one
zero,zero,3,two,38,one,zero,one,zero,zero,9,one,48,zero
zero,zero,4,two,34,zero,zero,one,zero,one,47,one,44,zero
zero,zero,3,two,28,one,zero,zero,zero,zero,35,one,38,zero
zero,zero,1,zero,66,zero,zero,one,zero,zero,47,one,12,zero
zero,zero,1,one,16,one,zero,zero,zero,two,39,one,26,zero
zero,two,2,one,45,zero,zero,one,one,two,47,one,25,one
one,zero,3,two,24,one,zero,one,zero,one,44,one,15,zero
zero,one,2,zero,33,one,zero,zero,zero,three,39,one,42,one
zero,zero,5,zero,8,zero,zero,zero,zero,one,57,one,18,zero
zero,zero,10,six,34,one,zero,one,zero,zero,39,one,10,zero
zero,zero,4,three,26,zero,zero,one,zero,zero,43,one,30,zero
zero,two,3,two,23,one,zero,one,zero,three,39,one,33,one
zero,zero,4,two,34,zero,zero,one,zero,zero,39,one,44,zero
one,zero,4,three,18,zero,zero,one,zero,zero,39,one,2,zero
zero,one,3,zero,14,one,zero,zero,zero,two,59,one,24,zero
zero,one,0,zero,18,zero,zero,zero,zero,two,49,one,15,one
zero,one,2,one,19,zero,zero,one,zero,three,62,one,29,one
zero,zero,2,one,18,one,zero,one,zero,one,39,one,26,zero
one,zero,3,two,38,zero,zero,one,zero,zero,39,one,41,zero
zero,zero,4,zero,9,zero,zero,zero,zero,zero,29,one,19,zero
zero,one,4,three,35,one,zero,one,zero,zero,44,one,42,zero
zero,one,2,one,33,zero,zero,one,zero,zero,47,one,43,one
zero,zero,1,one,31,one,zero,zero,zero,one,5,one,12,zero
zero,zero,4,zero,45,zero,zero,zero,zero,zero,49,one,17,zero
one,one,0,zero,42,zero,one,zero,zero,two,59,one,1,one
zero,zero,2,one,45,zero,zero,one,zero,zero,59,one,25,zero
one,one,1,zero,20,zero,zero,one,zero,two,9,one,19,one
one,zero,0,zero,54,zero,one,zero,zero,zero,89,one,64,zero
one,zero,0,zero,19,zero,zero,zero,zero,two,49,one,29,zero
zero,zero,4,one,13,zero,zero,one,zero,one,47,one,3,zero
zero,one,2,one,13,zero,zero,one,zero,one,47,one,23,one
zero,zero,7,five,21,zero,zero,one,zero,one,59,one,31,zero
zero,zero,4,zero,7,one,zero,zero,zero,zero,49,one,17,zero
zero,zero,2,zero,47,zero,zero,one,zero,zero,45,one,57,zero
zero,zero,5,four,21,one,zero,one,zero,zero,23,one,31,zero
zero,two,0,zero,8,one,zero,zero,zero,one,13,one,18,zero
one,one,2,one,18,zero,zero,one,zero,one,43,one,28,zero
zero,zero,3,two,24,zero,zero,one,zero,one,23,one,34,zero
zero,one,4,three,28,zero,zero,one,zero,two,39,one,38,one
zero,zero,4,three,31,one,zero,one,zero,one,29,one,23,zero
one,zero,2,one,34,zero,zero,one,zero,two,59,one,16,one
one,zero,1,zero,23,zero,one,zero,zero,two,39,one,33,one
one,one,1,zero,31,zero,zero,one,zero,zero,59,one,5,one
zero,zero,4,three,23,zero,zero,one,zero,one,39,one,20,one
one,zero,1,zero,17,one,zero,one,zero,two,35,one,2,zero
zero,one,6,five,32,zero,zero,one,zero,one,39,one,15,one
zero,zero,3,two,24,zero,zero,one,zero,zero,84,one,14,one
zero,one,3,zero,17,one,zero,zero,zero,two,39,one,10,zero
zero,zero,6,five,25,zero,zero,one,zero,three,59,one,20,zero
one,zero,5,four,39,zero,zero,one,zero,zero,47,one,49,zero
zero,one,1,zero,49,one,zero,one,zero,one,59,one,59,one
zero,one,3,two,37,zero,zero,one,zero,zero,43,one,40,zero
zero,zero,6,zero,12,zero,zero,zero,zero,zero,49,one,15,zero
zero,zero,4,three,34,one,zero,one,zero,zero,31,one,44,zero
one,one,4,three,17,zero,zero,one,zero,one,47,one,19,zero
zero,zero,5,zero,12,zero,zero,zero,zero,zero,29,one,1,zero
zero,zero,1,zero,52,zero,zero,one,zero,zero,47,one,39,zero
zero,zero,3,two,29,zero,zero,one,zero,one,55,one,39,one
one,zero,1,one,18,one,one,zero,zero,two,29,one,28,zero
zero,zero,6,five,21,zero,zero,one,zero,zero,39,one,7,zero
one,zero,3,zero,10,zero,zero,zero,zero,two,62,one,20,zero
zero,zero,3,two,21,one,zero,one,zero,zero,35,one,31,zero
zero,one,4,three,25,zero,zero,one,zero,two,39,one,35,one
zero,zero,3,two,33,zero,zero,one,zero,one,39,one,43,zero
one,one,2,one,20,zero,zero,one,zero,two,39,one,27,one
one,one,3,two,35,zero,zero,one,zero,one,54,one,3,one
zero,two,6,zero,7,zero,zero,zero,zero,one,1,one,17,zero
zero,zero,3,two,19,zero,zero,one,zero,one,59,one,29,zero
zero,one,4,zero,9,one,zero,zero,zero,one,39,one,19,zero
zero,one,3,one,17,zero,zero,one,zero,two,48,one,13,one
zero,zero,6,zero,19,zero,zero,zero,zero,zero,39,one,29,zero
zero,two,4,three,37,zero,zero,one,zero,three,23,one,47,one
zero,one,3,two,30,one,zero,one,zero,three,54,one,28,one
zero,zero,6,five,43,zero,zero,one,zero,one,47,one,35,zero
one,zero,1,zero,30,one,zero,one,zero,zero,49,one,25,zero
one,one,4,three,30,zero,zero,one,zero,two,39,one,40,one
zero,zero,0,zero,9,one,zero,zero,zero,two,47,one,18,zero
